date,name,value
2015-11-01,Helm,1
2015-12-01,Helm,42
2016-01-01,Helm,50
2016-02-01,Helm,69
2016-03-01,Helm,73
2016-04-01,Helm,97
2016-05-01,Helm,117
2016-06-01,Helm,170
2016-07-01,Helm,225
2016-08-01,Helm,269
2016-09-01,Helm,313
2016-10-01,Helm,408
2016-11-01,Helm,477
2016-12-01,Helm,605
2017-01-01,Helm,718
2017-02-01,Helm,832
2017-03-01,Helm,999
2017-04-01,Helm,1175
2017-05-01,Helm,1382
2017-06-01,Helm,1583
2017-07-01,Helm,1767
2017-08-01,Helm,1935
2017-09-01,Helm,2120
2017-10-01,Helm,2334
2017-11-01,Helm,2652
2017-12-01,Helm,2928
2018-01-01,Helm,3207
2018-02-01,Helm,3580
2018-03-01,Helm,3935
2018-04-01,Helm,4396
2018-05-01,Helm,4865
2018-06-01,Helm,5306
2018-07-01,Helm,5789
2018-08-01,Helm,6235
2018-09-01,Helm,6768
2018-10-01,Helm,7210
2018-11-01,Helm,7649
2018-12-01,Helm,8132
2019-01-01,Helm,8655
2019-02-01,Helm,9179
2019-03-01,Helm,9597
2019-04-01,Helm,10173
2019-05-01,Helm,10680
2019-06-01,Helm,11207
2019-07-01,Helm,11637
2019-08-01,Helm,12259
2019-09-01,Helm,12760
2019-10-01,Helm,13210
2019-11-01,Helm,13679
2019-12-01,Helm,14256
2020-01-01,Helm,14677
2020-02-01,Helm,15108
2020-03-01,Helm,15513
2020-04-01,Helm,15802
2020-05-01,Helm,16067
2020-06-01,Helm,16323
2020-07-01,Helm,16550
2020-08-01,Helm,16782
2020-09-01,Helm,17010
2020-10-01,Helm,17217
2020-11-01,Helm,17422
2020-12-01,Helm,17624
2021-01-01,Helm,17824
2021-02-01,Helm,18053
2021-03-01,Helm,18265
2021-04-01,Helm,18462
2021-05-01,Helm,18634
2021-06-01,Helm,18846
2021-07-01,Helm,19044
2021-08-01,Helm,19270
2021-09-01,Helm,19461
2021-10-01,Helm,19652
2021-11-01,Helm,19820
2021-12-01,Helm,20013
2022-01-01,Helm,20225
2022-02-01,Helm,20410
2022-03-01,Helm,20587
2022-04-01,Helm,20806
2022-05-01,Helm,21029
2022-06-01,Helm,21309
2022-07-01,Helm,21539
2022-08-01,Helm,21757
2022-09-01,Helm,21963
2022-10-01,Helm,22142
2022-11-01,Helm,22436
2022-12-01,Helm,22719
2023-01-01,Helm,22886
2023-02-01,Helm,23034
2023-03-01,Helm,23358
2023-04-01,Helm,23579
2023-05-01,Helm,23775
2023-06-01,Helm,23959
2023-07-01,Helm,24150
2023-08-01,Helm,24319
2023-09-01,Helm,24488
2023-10-01,Helm,24618
2023-11-01,Helm,24790
2023-12-01,Helm,24954
2024-01-01,Helm,25099
2024-02-01,Helm,25295
2024-03-01,Helm,25494
2024-04-01,Helm,25678
2024-05-01,Helm,25846
2024-06-01,Helm,25990
2024-07-01,Helm,26136
2024-08-01,Helm,26418
2024-09-01,Helm,26606
2024-10-01,Helm,26756
2024-11-01,Helm,26938
2024-12-01,Helm,27096
2025-01-01,Helm,27231
2025-02-01,Helm,27262
2011-02-01,Elixir,717
2011-03-01,Elixir,732
2011-04-01,Elixir,746
2011-05-01,Elixir,762
2011-06-01,Elixir,776
2011-07-01,Elixir,793
2011-08-01,Elixir,802
2011-09-01,Elixir,812
2011-10-01,Elixir,819
2011-11-01,Elixir,828
2011-12-01,Elixir,835
